id|strText
1|玩一玩
2|最高分
3|每日
4|设置
5|分数
6|返回
7|游戏结束
8|继续
9|加载中...
10|确认
11|是
12|否
13|声音
14|音乐
15|震动
16|全屏
17|去除广告
18|观看视频
19|提示
20|分数已增加
21|连击 x{0}
22|新纪录！
23|目标分数
24|剩余步数
25|时间到
26|暂停
27|继续游戏
28|退出
29|领取
30|下一关
31|关卡选择
32|第 {0} 关
33|简单
34|普通
35|困难
36|道具
37|炸弹
38|锤子
39|重排
40|每日奖励
41|第 {0} 天
42|立即领取
43|排行榜
44|成就
45|挑战
46|分享分数
47|新玩家？
48|新手引导
49|跳过
50|感谢游玩！
51|隐私权政策
52|用户许可
53|您的存档将被清除，确定吗？
54|关卡目标
55|分数:{0}
56|收集道具
57|{0} x {1}
58|手套
59|星星
60|宝石
61|关卡完成！
62|关卡模式
63|经典模式
64|皮肤
65|Q版卡通可爱风
66|8bit 像素复古风
67|木质复古经典风
68|赛博朋克霓虹风
69|水彩手绘治愈风
70|极简几何现代风
71|魔法奇幻童话风
72|水墨国风禅意风
73|糖果马卡龙风
74|观看{0}次广告解锁该皮肤？
75|广告失败或被中断。
76|失败
77|再试一次，或观看广告复活。
78|观看广告复活
79|广告不可用，正在重开…
80|复活失败。
81|每日签到
82|当前连续签到：{0}天
83|奖励：连续签到3天解锁第一个皮肤
84|今天已经签到过了。
85|连续签到3天奖励已解锁！皮肤已解锁！
86|关卡目标
87|分数 ≥ {0}
88|语言更改将在重启游戏后生效。现在重启吗？
