id|strText
1|Play
2|No Ads
3|Remove ads Pack
4|Remove ADS
5|Download
6|Coin Packs
7|Buy game boost
8|Buy
9|Free
10|No, Thanks
11|Skip the image
12|Get one boost to Continue
13|Cancel
14|Retry
15|Albums
16|Travel
17|Home
18|Restart
19|Continue
20|Times: <color=#FFFF8A>{0}</color>
21|Better than {0:N2}% of players
22|Double
23|Claim
24|SpecialLevel:
25|VIP Club
26|Experience Unlimited Fun
27|Special level access
28|VIP level access
29|Double chest rewards
30|Free image download
31|Double level rewards
32|Remove interstitial ads
33|Remove banner ads
34|Special level access
35|VIP level access
36|Double chest rewards
37|Subscription Terms
38|Subscription time remaining {0} days
39|This is an auto-renewable subscription. The payment is charged to your account after confirmation. The subscription is renewed unless you unsubscribe 24 hours before the period ends. Your account will also be charged for renewal
40|Subscription Terms
41|Privacy Policy
42|You have purchased this type
43|Payment Processing...<br>Please do not close the game.
44|Loading
45|Purchase failed, please try again.
46|Invalid Payment
47|Purchase failed, please try again.
48|Purchase Successfully
49|Weekly Subscription
50|Monthly Subscription
51|Yearly Subscription
52|{0}/{1}Days
53|Activated
54|Unlock Speacial Level
55|Unlock VIP Level
56|Can't Use Revocation Now
57|Can't Use Magnet Now
58|Can't Push Out Now
59|VIP Unlock
60|Days
61|Sale
62|No Ad
63|Daily Reward
64|SupremeDeal
65|Restore Purchase
66|Enjoy the Game?<br>Support us with a 5-star!
67|Version:{0}
68|VIP Level :
69|Setting
70|Please turn on the gallery permission of this app on the settings page, otherwise it will not be able to download
71|Store
72|Enjoy the Game?<br>Support us <br>with a 5-star!
73|Get Coins
74|<color=#FFED52>VIP Club </color>Free Access
75|Unable to continue synthesis, automatically randomized
76|Purchased
77|Need more time
78|Treasure
79|The ad is not ready yet. Please try again later.
80|X5
81|Add a hole
82|TAP ON GLASS TO BREAK
83|Level {0}
84|Treasure Fest
85|Lucky Spin
86|Spin
87|Free:{0}
88|Free(Left {0})
