id|strText
1|Jouer
2|Meilleur Score
3|Quotidien
4|Paramètres
5|Score
6|Retour
7|Fin du jeu
8|Continuer
9|Chargement...
10|Confirmer
11|Oui
12|Non
13|Son
14|Musique
15|Vibration
16|Plein écran
17|Supprimer les pubs
18|Regarder la vidéo
19|Indice
20|Score ajouté
21|Combo x{0}
22|Nouveau record!
23|Score cible
24|Coups restants
25|Temps écoulé
26|Pause
27|Reprendre
28|Quitter
29|Réclamer
30|Niveau suivant
31|Sélection du niveau
32|Niveau {0}
33|Facile
34|Normal
35|Difficile
36|Objet
37|Bombe
38|Marteau
39|Mélanger
40|Récompense quotidienne
41|Jour {0}
42|Réclamer maintenant
43|Classement
44|Réussite
45|Défi
46|Partager le score
47|Nouveau joueur ?
48|Tutoriel
49|Passer
50|Merci d’avoir joué !
51|Politique de confidentialité
52|Licence utilisateur
53|Votre archive sera nettoyée, êtes-vous sûr ?
54|Niveau cible
55|Score:{0}
56|Collecter des objets
57|{0} x {1}
58|Gant
59|Étoile
60|Gemme
61|Niveau terminé !
62|Mode Étape
63|Mode Classique
64|Skin
65|Dessin animé mignon
66|Pixel rétro 8 bits
67|Bois vintage
68|Néon cyberpunk
69|Aquarelle douce dessinée à la main
70|Minimal géométrique moderne
71|Conte de fées fantastique magique
72|Encre et lavis Zen (style chinois)
73|Macaron candy
74|Regarder {0} pubs pour débloquer ce skin ?
75|La pub a échoué ou a été interrompue.
76|Échec
77|Réessaie ou regarde une pub pour revivre.
78|Voir une pub pour revivre
79|Pub indisponible. Redémarrage…
80|Échec de la résurrection.
81|Connexion quotidienne
82|Série actuelle : {0} jours
83|Récompense : déverrouille le premier skin après 3 jours d’affilée
84|Déjà validé aujourd’hui.
85|Récompense 3 jours débloquée ! Skin débloqué !
86|Objectif du niveau
87|Score ≥ {0}
