id|strText
1|Jogar
2|Melhor Pontuação
3|Diário
4|Definições
5|Pontuação
6|Voltar
7|Fim do jogo
8|Continuar
9|A carregar...
10|Confirmar
11|Sim
12|Não
13|Som
14|Música
15|Vibração
16|Ecrã inteiro
17|Remover anúncios
18|Ver vídeo
19|Dica
20|Pontuação adicionada
21|Combo x{0}
22|Novo recorde!
23|Pontuação alvo
24|Movimentos restantes
25|Tempo esgotado
26|Pausa
27|Retomar
28|Sair
29|Reivindicar
30|Próximo nível
31|Seleção de nível
32|Nível {0}
33|Fácil
34|Normal
35|Difícil
36|Item
37|Bomba
38|Martelo
39|Embaralhar
40|Recompensa diária
41|Dia {0}
42|Reivindicar agora
43|Classificação
44|Conquista
45|Desafio
46|Partilhar pontuação
47|Novo jogador?
48|Tutorial
49|Ignorar
50|Obrigado por jogar!
51|Política de Privacidade
52|Licença do utilizador
53|O seu arquivo será limpo, tem a certeza?
54|Nível-Alvo
55|Pontuação:{0}
56|Recolher itens
57|{0} x {1}
58|Luvas
59|Estrela
60|Joia
61|Fase Concluída!
62|Modo de Fase
63|Modo Clássico
64|Skin
65|Caricatura Fofa
66|Pixel Retro 8-bit
67|Madeira Vintage
68|Neon Cyberpunk
69|Aquarela Suave à Mão
70|Geometria Minimalista Moderna
71|Conto de Fadas Mágico
72|Tinta Zen estilo chinês
73|Macaron de Candy
74|Ver {0} anúncios para desbloquear este skin?
75|O anúncio falhou ou foi interrompido.
76|Falhou
77|Tenta novamente ou vê um anúncio para reanimar.
78|Ver anúncio para reanimar
79|Anúncio indisponível. A reiniciar…
80|Falha ao reanimar.
81|Entrada diária
82|Sequência atual: {0} dias
83|Recompensa: desbloqueia o primeiro skin após 3 dias seguidos
84|Já fez hoje.
85|Recompensa de 3 dias desbloqueada! Skin desbloqueado!
86|Objetivo do nível
87|Pontuação ≥ {0}
88|A alteração de idioma terá efeito após reiniciar o jogo. Reiniciar agora?
