id|strText
1|Jugar
2|Mejor Puntuación
3|Diario
4|Ajustes
5|Puntuación
6|Volver
7|Fin del juego
8|Continuar
9|Cargando...
10|Confirmar
11|Sí
12|No
13|Sonido
14|Música
15|Vibración
16|Pantalla completa
17|Eliminar anuncios
18|Ver vídeo
19|Pista
20|Puntuación añadida
21|Combo x{0}
22|¡Nuevo récord!
23|Puntuación objetivo
24|Movimientos restantes
25|Se acabó el tiempo
26|Pausa
27|Reanudar
28|Salir
29|Reclamar
30|Siguiente nivel
31|Selección de nivel
32|Nivel {0}
33|Fácil
34|Normal
35|Difícil
36|Objeto
37|Bomba
38|Martillo
39|Barajar
40|Recompensa diaria
41|Día {0}
42|Recoger ahora
43|Clasificación
44|Logro
45|Desafío
46|Compartir puntuación
47|¿Nuevo jugador?
48|Tutorial
49|Omitir
50|¡Gracias por jugar!
51|Política de privacidad
52|Licencia de usuario
53|¿Se borrará tu archivo, estás seguro?
54|Nivel objetivo
55|Puntuación:{0}
56|Recoge objetos
57|{0} x {1}
58|Guante
59|Estrella
60|Joya
61|¡Nivel completado!
62|Modo de Fase
63|Modo Clásico
64|Skin
65|Caricatura tierna
66|Píxel retro 8-bit
67|Madera vintage
68|Neón cyberpunk
69|Acuarela suave a mano
70|Geométrico minimal moderno
71|Cuento de hadas fantástico mágico
72|Tinta zen al estilo chino
73|Caramelo macaron
74|¿Ver {0} anuncios para desbloquear esta skin?
75|El anuncio falló o fue interrumpido.
76|Fallido
77|Inténtalo de nuevo o mira un anuncio para revivir.
78|Ver anuncio para revivir
79|Anuncio no disponible. Reiniciando…
80|Falló la reanimación.
81|Inicio de sesión diario
82|Racha actual: {0} días
83|Recompensa: desbloquea la primera skin tras 3 días seguidos
84|Ya has marcado hoy.
85|¡Recompensa de 3 días desbloqueada! ¡Skin desbloqueada!
86|Objetivo del nivel
87|Puntuación ≥ {0}
