id|strText
1|เล่น
2|คะแนนสูงสุด
3|รายวัน
4|การตั้งค่า
5|คะแนน
6|กลับ
7|เกมโอเวอร์
8|ดำเนินการต่อ
9|กำลังโหลด...
10|ยืนยัน
11|ใช่
12|ไม่
13|เสียง
14|เพลง
15|การสั่น
16|เต็มหน้าจอ
17|เอาโฆษณาออก
18|ดูวิดีโอ
19|คำใบ้
20|คะแนนเพิ่มแล้ว
21|คอมโบ x{0}
22|ทำลายสถิติ!
23|คะแนนเป้าหมาย
24|เหลือการเคลื่อนไหว
25|หมดเวลา
26|หยุดชั่วคราว
27|กลับไปเล่นต่อ
28|ออก
29|รับ
30|ด่านต่อไป
31|เลือกด่าน
32|ด่าน {0}
33|ง่าย
34|ปกติ
35|ยาก
36|ไอเทม
37|ระเบิด
38|ค้อน
39|สลับใหม่
40|รางวัลรายวัน
41|วันที่ {0}
42|รับเลย
43|กระดานผู้นำ
44|ความสำเร็จ
45|ความท้าทาย
46|แชร์คะแนน
47|ผู้เล่นใหม่ใช่ไหม?
48|บทแนะนำ
49|ข้าม
50|ขอบคุณที่เล่นนะ!
