id|strText
1|Chơi
2|Điểm Cao Nhất
3|Hàng Ngày
4|Cài Đặt
5|Điểm Số
6|Quay Lại
7|Trò Chơi Kết Thúc
8|Tiếp tục
9|Đang tải...
10|Xác nhận
11|Có
12|Không
13|Âm thanh
14|Nhạc nền
15|Rung động
16|Toàn màn hình
17|Xóa quảng cáo
18|Xem video
19|Gợi ý
20|Điểm đã thêm
21|Liên hoàn x{0}
22|Kỷ lục mới!
23|Điểm mục tiêu
24|Số lượt còn lại
25|Hết giờ
26|Tạm dừng
27|Tiếp tục
28|Thoát
29|Nhận
30|Cấp độ tiếp theo
31|Chọn cấp độ
32|Cấp độ {0}
33|Dễ
34|Bình thường
35|Khó
36|Vật phẩm
37|Bom
38|Búa
39|Xáo lại
40|Thưởng hàng ngày
41|Ngày {0}
42|Nhận ngay
43|Bảng xếp hạng
44|Thành tựu
45|Thử thách
46|Chia sẻ điểm số
47|Người chơi mới?
48|Hướng dẫn
49|Bỏ qua
50|Cảm ơn bạn đã chơi!
52|Giấy phép người dùng
53|Dữ liệu lưu của bạn sẽ bị xóa, bạn có chắc chắn không?
