id|strText
1|Play
2|BestScore
3|Daily
4|Setting
5|Score
6|Back
7|GameOver
8|Continue
9|Loading...
10|Confirm
11|Yes
12|No
13|Sound
14|Music
15|Vibration
16|Fullscreen
17|Remove Ads
18|Watch Video
19|Hint
20|Score Added
21|Combo x{0}
22|New Record!
23|Target Score
24|Moves Left
25|Time's Up
26|Pause
27|Resume
28|Quit
29|Claim
30|Next Level
31|Level Select
32|Level {0}
33|Easy
34|Normal
35|Hard
36|Item
37|Bomb
38|Hammer
39|Shuffle
40|Daily Reward
41|Day {0}
42|Claim Now
43|Leaderboard
44|Achievement
45|Challenge
46|Share Score
47|New Player?
48|Tutorial
49|Skip
50|Thanks for playing!
51|Privacy Policy
52|User License
53|Your Archive Will Be Clean, Are You Sure?
54|LevelTarget
55|Score:{0}
56|Collect items
57|{0} x {1}
58|Glove
59|Star
60|Gem
61|Stage Comlete!
62|Stage Mode
63|Classic Mode
64|Skin
65|Cute Cartoon
66|8-Bit Pixel
67|Vintage Wood
68|Cyber Neon
69|Soft Watercolor
70|Modern Minimal
71|Fantasy Magic
72|Ink Wash
73|Candy Macaron
74|Watch {0} ads to unlock this skin?
75|Ad failed or interrupted.
76|Failed
77|Try again or watch an ad to revive.
78|Watch Ad Revive
79|Ad unavailable. Restarting...
80|Revive failed.
81|Daily Sign-In
82|Current streak: {0} days
83|Reward: unlock first skin after 3-day streak
84|Already signed today.
85|3-day streak reward unlocked! Skin has been unlocked!
86|Level Target
87|Score >= {0}
