id|strText
1|Jouer
2|Meilleur Score
3|Quotidien
4|Paramètres
5|Score
6|Retour
7|Fin du jeu
8|Continuer
9|Chargement...
10|Confirmer
11|Oui
12|Non
13|Son
14|Musique
15|Vibration
16|Plein écran
17|Supprimer les pubs
18|Regarder la vidéo
19|Indice
20|Score ajouté
21|Combo x{0}
22|Nouveau record!
23|Score cible
24|Coups restants
25|Temps écoulé
26|Pause
27|Reprendre
28|Quitter
29|Réclamer
30|Niveau suivant
31|Sélection du niveau
32|Niveau {0}
33|Facile
34|Normal
35|Difficile
36|Objet
37|Bombe
38|Marteau
39|Mélanger
40|Récompense quotidienne
41|Jour {0}
42|Réclamer maintenant
43|Classement
44|Réussite
45|Défi
46|Partager le score
47|Nouveau joueur ?
48|Tutoriel
49|Passer
50|Merci d’avoir joué !
