id|strText
1|Spielen
2|Bestwert
3|Täglich
4|Einstellungen
5|Punktzahl
6|Zurück
7|Spielende
8|Weiter
9|Lädt...
10|Bestätigen
11|Ja
12|Nein
13|Ton
14|Musik
15|Vibration
16|Vollbild
17|Werbung entfernen
18|Video ansehen
19|Tipp
20|Punkte hinzugefügt
21|Combo x{0}
22|Neuer Rekord!
23|Zielwert
24|Züge übrig
25|Zeit abgelaufen
26|Pause
27|Fortfahren
28|Verlassen
29|Einlösen
30|Nächstes Level
31|Level auswählen
32|Level {0}
33|Einfach
34|Normal
35|Schwer
36|Gegenstand
37|Bombe
38|Hammer
39|Mischen
40|Täglicher Bonus
41|Tag {0}
42|Jetzt einlösen
43|Bestenliste
44|Errungenschaft
45|Herausforderung
46|Ergebnis teilen
47|Neu hier?
48|Anleitung
49|Überspringen
50|Danke fürs Spielen!
52|Nutzungsbedingungen
53|Ihr Archiv wird gelöscht, sind Sie sicher?
