id|strText
1|Mainkan
2|Skor Tertinggi
3|Harian
4|Pengaturan
5|Skor
6|Kembali
7|Permainan Selesai
8|Lanjutkan
9|Sedang Memuat...
10|Konfirmasi
11|Ya
12|Tidak
13|Suara
14|Musik
15|Getaran
16|Layar Penuh
17|Hapus Iklan
18|Tonton Video
19|Petunjuk
20|Skor Ditambahkan
21|Combo x{0}
22|Rekor Baru!
23|Skor Target
24|Langkah Tersisa
25|Waktu Habis
26|Jeda
27|Lanjutkan
28|Keluar
29|Ambil
30|Level Berikutnya
31|Pilih Level
32|Level {0}
33|Mudah
34|Normal
35|Sulit
36|Item
37|Bom
38|Palu
39|Acak Ulang
40|Hadiah Harian
41|Hari {0}
42|Ambil Sekarang
43|Papan Peringkat
44|Prestasi
45|Tantangan
46|Bagikan Skor
47|Pemain Baru?
48|Tutorial
49|Lewati
50|Terima kasih telah bermain!
52|Lisensi Pengguna
53|Data penyimpanan Anda akan dihapus, yakin?
54|Target Level
55|Skor:{0}
56|Kumpulkan item
57|{0} x {1}
58|Sarung Tangan
59|Bintang
60|Permata
61|Level Selesai!
62|Mode Tahap
63|Mode Klasik
64|Skin
65|Gaya Kartun Imut
66|Gaya Pixel Retro 8-bit
67|Gaya Retro Kayu
68|Gaya Neon Cyberpunk
69|Gaya Ilustrasi Cat Air Lembut
70|Gaya Geometris Minimal Modern
71|Gaya Fantasi Ajaib Seperti Dongeng
72|Gaya Seni Tinta Zen ala Tiongkok
73|Gaya Permen Macaron
74|Tonton {0} iklan untuk membuka skin ini?
75|Gagal memutar iklan atau dibatalkan.
76|Gagal
77|Coba lagi atau tonton iklan untuk menyelamatkan.
78|Tonton Iklan untuk Bangkit
79|Iklan tidak tersedia. Memulai ulang...
80|Gagal bangkit.
81|Tanda Harian
82|Rangkaian saat ini: {0} hari
83|Hadiah: buka skin pertama setelah rangkaian 3 hari
84|Sudah tanda hari ini.
85|Hadiah 3 hari beruntun diterima! Skin sudah dibuka!
86|Target Level
87|Skor minimal {0}
