id|strText
1|プレイ
2|最高得点
3|毎日
4|設定
5|得点
6|戻る
7|ゲームオーバー
8|続ける
9|読み込み中...
10|確認
11|はい
12|いいえ
13|サウンド
14|音楽
15|バイブレーション
16|フルスクリーン
17|広告削除
18|動画を見る
19|ヒント
20|スコア追加
21|コンボ x{0}
22|新記録！
23|目標得点
24|残り移動回数
25|時間切れ
26|ポーズ
27|再開
28|終了
29|受け取る
30|次のステージ
31|ステージ選択
32|ステージ {0}
33|簡単
34|普通
35|難しい
36|アイテム
37|爆弾
38|ハンマー
39|シャッフル
40|毎日報酬
41|{0}日目
42|今すぐ受け取る
43|リーダーボード
44|実績
45|チャレンジ
46|スコアを共有
47|初心者ですか？
48|チュートリアル
49|スキップ
50|プレイありがとうございました！
51|プライバシーポリシー
52|利用規約
53|セーブデータが消去されますが、よろしいですか？
54|ステージ目標
55|スコア:{0}
56|アイテムを集める
57|{0} x {1}
58|グローブ
59|スター
60|宝石
61|ステージクリア！
62|ステージモード
63|クラシックモード
64|スキン
65|キュートなカートゥーン
66|8ビット・レトロピクセル
67|ビンテージウッド
68|サイバーネオン
69|やさしい水彩手描き
70|モダンミニマル幾何学
71|魔法のファンタジー童話
72|墨絵和風禅
73|キャンディ・マカロン
74|広告を{0}回見てこのスキンを解放しますか？
75|広告の再生に失敗、または中断されました。
76|失敗
77|もう一度挑戦するか、広告を見て復活しましょう。
78|広告を見て復活
79|広告が利用できません。再開します…
80|復活に失敗しました。
81|デイリーログイン
82|連続日数：{0}日
83|報酬：3日連続で最初のスキンを解放
84|今日はすでに受け取りました。
85|3日連続報酬を獲得！スキンを解放しました！
86|レベル目標
87|スコア ≥ {0}
