id|strText
1|Играть
2|Лучший Счет
3|Ежедневно
4|Настройки
5|Счет
6|Назад
7|Игра окончена
8|Продолжить
9|Загрузка...
10|Подтвердить
11|Да
12|Нет
13|Звук
14|Музыка
15|Вибрация
16|Полный экран
17|Убрать рекламу
18|Смотреть видео
19|Подсказка
20|Очки добавлены
21|Комбо x{0}
22|Новый рекорд!
23|Целевой счет
24|Ходов осталось
25|Время вышло
26|Пауза
27|Продолжить
28|Выйти
29|Получить
30|Следующий уровень
31|Выбор уровня
32|Уровень {0}
33|Легкий
34|Средний
35|Сложный
36|Предмет
37|Бомба
38|Молоток
39|Перемешать
40|Ежедневная награда
41|День {0}
42|Получить сейчас
43|Таблица лидеров
44|Достижение
45|Испытание
46|Поделиться счётом
47|Новичок?
48|Обучение
49|Пропустить
50|Спасибо за игру!
52|Лицензия пользователя
53|Ваша архивная копия будет очищена, вы уверены?
