id|strText
1|Jugar
2|Mejor Puntuación
3|Diario
4|Ajustes
5|Puntuación
6|Volver
7|Fin del juego
8|Continuar
9|Cargando...
10|Confirmar
11|Sí
12|No
13|Sonido
14|Música
15|Vibración
16|Pantalla completa
17|Eliminar anuncios
18|Ver vídeo
19|Pista
20|Puntuación añadida
21|Combo x{0}
22|¡Nuevo récord!
23|Puntuación objetivo
24|Movimientos restantes
25|Se acabó el tiempo
26|Pausa
27|Reanudar
28|Salir
29|Reclamar
30|Siguiente nivel
31|Selección de nivel
32|Nivel {0}
33|Fácil
34|Normal
35|Difícil
36|Objeto
37|Bomba
38|Martillo
39|Barajar
40|Recompensa diaria
41|Día {0}
42|Recoger ahora
43|Clasificación
44|Logro
45|Desafío
46|Compartir puntuación
47|¿Nuevo jugador?
48|Tutorial
49|Omitir
50|¡Gracias por jugar!
52|Licencia de usuario
53|¿Se borrará tu archivo, estás seguro?
